Crystal Sarovar Premiere Agra	[1: ¬(General_Room service; 1)=0.78 2: ¬(Food & Drink_Bar; 1)=0.78 3: ¬(Activities_Fitness centre; 1)=0.61]
The Fern Greenleaf Resort	[1: ¬(Parking_Free! Free private parking is possible on site (reservation is not needed).; 1)=0.46 2: ¬(Activities_Games room; 1)=0.46 3: ¬(Cleaning services_Dry cleaning; 1)=0.43]
OYO Apartments Hennur Main Road	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(Bathroom_Shower; 1)=0.53]
Sea Shell Resort	[1: ¬(Pets_Pets are not allowed.; 1)=0.86 2: ¬(Bathroom_Bathroom; 1)=0.59 3: ¬(Bathroom_Toilet; 1)=0.59]
OYO Rooms Old Station Road	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(Bathroom_Shower; 1)=0.53]
Majestica Inn	[1: ¬(Cleaning services_Ironing service; 1)=0.56 2: ¬(Food & Drink_Breakfast in the room; 1)=0.47 3: ¬(Food & Drink_Restaurant (à la carte); 1)=0.39]
Orritel Village Square	[1: ¬(Pets_Pets are not allowed.; 1)=0.93 2: ¬(General_Lift; 1)=0.71 3: ¬(General_Room service; 1)=0.65]
OYO Rooms Fairlawn Cottage	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(General_Air conditioning; 1)=0.54]
Kallarackal Residency	[1: ¬(Bathroom_Bathroom; 1)=0.79 2: ¬(Bathroom_Toilet; 1)=0.77 3: ¬(Bathroom_Shower; 1)=0.72]
OYO Rooms Beside Bank Of India Russel Chowk Jabalpur	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(Bathroom_Shower; 1)=0.53]
OYO Rooms Delhi Road	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(Bathroom_Shower; 1)=0.53]
Ankitvista Green Village	[1: ¬(Living Area_Seating Area; 1)=0.51 2: ¬(Internet_Free! WiFi is available in all areas and is free of charge.; 1)=0.44 3: ¬(Services_Room service; 1)=0.43]
Hotel Aman International	[1: ¬(Food & Drink_Restaurant; 1)=0.67 2: ¬(Bathroom_Shower; 1)=0.66 3: ¬(Media & Technology_Flat-screen TV; 1)=0.5]
OYO Apartments SM Shetty Powai 2	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(General_Air conditioning; 1)=0.54]
Hotel Galaxy	[1: ¬(General_Air conditioning; 1)=0.54 2: ¬(Internet_Free! WiFi is available in all areas and is free of charge.; 1)=0.5 3: ¬(Bathroom_Free toiletries; 1)=0.45]
Starlet Resort	[1: ¬(Pets_Pets are not allowed.; 1)=0.86 2: ¬(Bathroom_Bathroom; 1)=0.59 3: ¬(Bathroom_Toilet; 1)=0.59]
OYO Rooms Heritage Hathwa Palace	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(General_Air conditioning; 1)=0.54]
Amritasthanam	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(General_Air conditioning; 1)=0.54]
Hotel Sonu Dx	[1: ¬(Food & Drink_Restaurant; 1)=0.59 2: ¬(Outdoors_Garden; 1)=0.53 3: ¬(property_type; 206)=0.44]
OYO Premium Koregaon Park Pune	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(General_Air conditioning; 1)=0.54]
OYO Rooms Funcity Valley View	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(General_Air conditioning; 1)=0.54]
OYO Rooms Cantt Roadways Varanasi	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(General_Air conditioning; 1)=0.54]
